age,income,credit_score,loan_amount,monthly_spend,experience_years,employment_type,education_level,region,risk_tolerance,financial_capacity_index,household_cashflow_score,behavior_score,loan_default
43.96056984,31019.39082,650.3368223,33805.55034,1732.298149,13,salaried,bachelor,east,high,31.01939082,38.73257706,38.39309541,0
36.34082839,39375.96156,648.2610124,20974.75571,2334.610693,32,salaried,bachelor,north,high,39.37596156,45.59527581,62.16275378,0
45.77226246,18055.6687,554.3049779,26027.33979,1848.435993,1,salaried,bachelor,south,low,18.0556687,15.03373181,51.20072798,1
56.27635828,15254.92925,656.8936866,20798.61052,3256.259548,1,unemployed,master,east,low,15.25492925,25.5337783,73.12283389,0
35.1901595,11486.29293,731.2980357,14661.33295,7767.804367,30,salaried,master,west,low,11.48629293,6.237570957,52.57146225,0
35.19035652,13423.38591,590.8037517,2064.672524,1608.67522,3,salaried,master,north,medium,13.42338591,17.55915541,49.79828291,0
56.95055379,129243.9077,753.3937856,21643.6455,6638.600142,33,unemployed,bachelor,south,medium,129.2439077,137.8862498,44.85955853,0
47.20921675,46481.41101,714.1442375,13795.14716,1595.053157,18,salaried,high_school,south,medium,46.48141101,58.11630743,50.04830368,0
32.36630737,9792.336611,628.6036675,13597.31675,1513.073407,8,,high_school,north,low,9.792336611,15.33381495,64.11267516,0
44.51072052,9961.921224,670.0929254,16008.10195,5738.055648,23,unemployed,bachelor,west,high,9.961921224,6.678850506,57.82769764,0
32.43898769,29410.87071,791.8825265,33958.89125,6232.60151,12,self_employed,master,north,medium,29.41087071,34.89818846,52.94795831,0
32.41124296,30587.87227,731.3483469,39238.70034,5890.687243,29,,phd,west,high,30.58787227,30.83882908,58.55792536,0
40.90354726,30617.60047,680.6148558,21737.6635,1040.401602,18,student,high_school,south,medium,30.61760047,37.05773981,45.57614236,0
18,18902.06631,,16281.86221,2053.37327,9,self_employed,high_school,north,medium,18.90206631,20.56059974,44.80974988,0
18,20429.34127,685.3626349,10582.18866,5758.261433,13,salaried,high_school,west,low,20.42934127,28.29796429,43.72967472,0
31.25254965,26815.29505,644.1765509,23748.32129,3081.690141,19,self_employed,high_school,west,medium,26.81529505,27.81076368,59.88067257,0
25.84602656,23191.37691,532.6675346,34263.2448,1262.748184,3,self_employed,bachelor,east,low,23.19137691,28.66956861,60.88063202,1
41.77096799,5816.301027,822.9524537,18021.2769,4301.221587,4,unemployed,phd,west,medium,5.816301027,3.160814909,42.01206244,0
27.10371109,19189.5324,690.8727499,1000,1682.698768,31,unemployed,bachelor,north,low,19.1895324,25.80622282,43.24738825,0
21.05235558,13215.63846,707.8703086,25360.39737,12526.72798,5,salaried,bachelor,north,low,13.21563846,3.064027869,48.6418569,0
55.58778523,24468.13289,675.9464575,27883.19769,10258.61552,13,self_employed,bachelor,west,low,24.46813289,28.80521816,39.7699474,0
35.29068439,132078.986,628.5418239,7313.234877,4833.267124,5,salaried,high_school,north,low,132.078986,136.880656,52.35407394,0
38.81033846,27460.09117,666.9852863,21411.87347,8855.60051,13,salaried,master,south,low,27.46009117,29.08686889,64.35901552,0
20.90302177,18249.3034,568.0423666,23609.80813,3139.544737,11,salaried,bachelor,south,high,18.2493034,8.100938251,53.67985793,0
31.46740731,38295.2406,839.3960549,19415.14158,5499.156498,26,self_employed,high_school,north,low,38.2952406,36.91466102,60.27142545,0
39.33107108,29425.37665,593.5841601,13673.83265,9722.287762,25,self_employed,bachelor,west,medium,29.42537665,36.35992395,36.79332271,0
24.18807707,28340.77032,607.7623601,28127.49779,3627.862625,11,salaried,bachelor,south,low,28.34077032,25.0229514,44.96668467,0
42.50837622,31701.21718,649.1818557,16772.96203,2430.495106,7,,high_school,west,medium,31.70121718,25.32391536,31.0332859,0
30.79233572,75654.04131,770.1653007,8118.510698,762.2712271,9,student,high_school,north,low,75.65404131,72.11803746,49.37626713,0
,11175.36341,681.0156299,3604.204115,2789.152819,15,self_employed,bachelor,east,low,11.17536341,17.67570002,71.82024548,0
,29265.92784,593.4704943,30086.79616,5760.263779,25,salaried,high_school,south,low,29.26592784,32.47252318,67.70710807,0
,12634.30891,,24933.31181,6351.884008,7,student,high_school,north,medium,12.63430891,20.32764244,53.86376031,1
37.8380333,30739.61793,731.1700439,20703.78838,4462.623285,28,unemployed,bachelor,south,low,30.73961793,35.16500877,50.80762617,0
25.30746885,12692.77348,717.690447,16477.80291,1933.255646,19,salaried,bachelor,west,high,12.69277348,8.936333942,54.80416306,0
47.87053895,17147.02403,730.1013969,15768.01269,613.1090066,16,salaried,bachelor,east,medium,17.14702403,26.94866368,38.2129837,0
23.3498762,18452.33226,847.605333,11394.10681,2005.859491,18,unemployed,phd,east,high,18.45233226,16.10095096,52.43931135,0
40.50636314,39556.68683,832.9566427,16548.35484,2336.768108,16,self_employed,bachelor,north,high,39.55668683,36.54144177,28.55618251,0
18,38218.41194,631.929926,3039.302279,2320.775849,0,salaried,bachelor,south,medium,38.21841194,40.56901909,24.43294297,1
22.06176741,10431.3354,793.6719495,14111.49077,4889.498816,28,salaried,master,east,high,10.4313354,13.04273815,46.53607011,0
40.36233483,22764.56562,706.8217733,17512.49987,14596.55949,13,self_employed,bachelor,south,low,22.76456562,27.72132264,73.73802504,0
46.86159896,14389.47171,714.9367071,24879.04038,3290.593957,16,salaried,high_school,west,high,14.38947171,13.30684843,66.66279244,1
40.05641937,10351.60701,561.5410418,19680.58829,2506.429648,12,salaried,high_school,west,low,10.35160701,17.9200969,61.44938902,0
36.61222061,19337.27327,668.0729964,26359.38491,2422.662812,28,salaried,bachelor,north,medium,19.33727327,16.77856744,50.17310425,0
34.38675565,18304.64857,,30793.08084,3292.846982,33,salaried,bachelor,east,medium,18.30464857,13.50244039,65.59261112,0
20.25773612,94469.27155,737.964117,28465.36075,1536.657669,26,self_employed,phd,east,high,94.46927155,86.87741184,44.87869265,0
29.3618695,28560.38496,754.975635,23764.07878,3281.837792,32,unemployed,bachelor,south,high,28.56038496,28.27709295,38.16359555,0
32.47233475,9637.620293,534.7859554,20094.90143,4275.472361,28,salaried,master,west,low,9.637620293,14.31191948,44.29585231,1
50.68546671,15695.59843,678.4575595,12153.69593,3525.398826,18,self_employed,high_school,east,low,15.69559843,19.88987581,33.93432669,0
42.12341947,40653.08392,758.5303053,25919.55241,4298.5522,23,salaried,bachelor,north,medium,40.65308392,43.31161716,72.6635781,0
18,77115.96939,666.9324726,33437.97906,4217.501152,13,,master,north,medium,77.11596939,76.55551579,55.43045894,0
41.88900763,8505.004319,731.0344552,22736.84832,722.3304016,4,unemployed,high_school,east,low,8.505004319,15.15861314,41.29307045,0
33.37901264,7129.849241,704.5815827,35338.07319,4961.662409,23,salaried,high_school,north,medium,7.129849241,7.92695564,49.20792732,0
29.876936,67682.24099,703.9162162,7795.426336,1742.695138,33,salaried,bachelor,east,high,67.68224099,71.24826252,48.89673385,0
45.34011547,27827.17963,661.0079515,10766.69292,1240.573026,30,salaried,master,east,medium,27.82717963,22.76530815,64.34804415,0
50.37199427,13082.41657,594.8393437,26841.61206,1232.054694,29,self_employed,high_school,east,medium,13.08241657,4.277825076,72.38222023,1
49.17536143,30356.84941,601.4928897,22114.32168,4216.806168,8,salaried,bachelor,east,medium,30.35684941,35.51762419,60.85220934,0
27.92938972,4530.335858,729.654676,30510.25741,2494.740658,26,salaried,high_school,south,medium,4.530335858,17.45433086,57.42293919,0
34.28945149,22071.12129,681.3620779,19876.22687,776.211452,27,student,bachelor,east,high,22.07112129,24.97482639,53.19423076,0
41.97516118,26814.35624,670.3041429,13056.19662,4369.6153,25,salaried,phd,north,medium,26.81435624,31.93317625,51.15840891,0
49.70654153,38352.00487,650.327697,18291.25406,942.2903887,17,salaried,high_school,west,medium,38.35200487,43.59399897,50.92098288,0
